rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,tanh,27,Xception,193,0.00016129613316653364,0.625,0.273,54,0.267,RMSProp,8,0.000191781242617201,run_2018-02-08-142510_,0.013,3,65,0.23354000302710443
24,tanh,20,ResNet50,575,0.006530431631179156,0.96875,0.273,53,0.267,Adam,1,0.0002150660970160796,run_2018-02-08-132206_,0.013,3,226,0.02733642500175958
24,relu,12,MobileNet,114,0.0002991838642808414,0.78125,0.273,30,0.267,RMSProp,2,5.1499081835195246e-05,run_2018-02-08-141251_,0.013,3,460,0.2725748727334653
24,tanh,27,InceptionResNetV2,100,0.000196316894784971,0.84375,0.273,38,0.267,RMSProp,8,5.4346436903413856e-05,run_2018-02-08-144926_,0.013,3,161,0.08717978237230432
24,tanh,15,Xception,296,0.00030912433098717856,0.78125,0.273,41,0.267,Adam,1,0.00029688826057106037,run_2018-02-08-132055_,0.013,2,162,0.10463537736613007
24,tanh,26,Xception,102,0.00034250364632725075,0.1818181787218366,0.273,21,0.267,RMSProp,64,0.0006568568909618812,run_2018-02-08-140818_,0.013,2,72,0.10187798747318884
24,relu,22,MobileNet,769,0.0018384570315878026,0.550458711768509,0.273,19,0.267,Adam,4,1.1252978052325498e-05,run_2018-02-08-141743_,0.013,3,50,0.08281874464133102
24,tanh,26,Xception,102,0.00034250364632725075,0.5974025919839934,0.273,21,0.267,RMSProp,2,0.0006568568909618812,run_2018-02-08-132959_,0.013,2,72,0.10187798747318884
24,relu,15,Xception,598,0.0006914040966394852,0.96875,0.273,53,0.267,SGD,1,0.0009179015212240629,run_2018-02-08-131445_,0.013,2,252,0.21844821962337427
24,tanh,13,InceptionResNetV2,978,0.00012882947262845318,0.4403669681024114,0.273,18,0.267,RMSProp,8,0.00020753889586138015,run_2018-02-08-135018_,0.013,2,286,0.06508243080896674
24,tanh,11,InceptionResNetV2,233,0.00023354944563865797,0.59375,0.273,39,0.267,RMSProp,8,0.0004317622731304309,run_2018-02-08-142702_,0.013,3,264,0.06200883009933965
24,tanh,23,InceptionResNetV2,372,0.00026835738398635247,0.6146788977154898,0.273,16,0.267,Adam,8,8.451343082591651e-05,run_2018-02-08-135159_,0.013,3,149,0.2020157313067293
24,tanh,19,InceptionResNetV2,277,0.0012754002674200458,0.90625,0.273,55,0.267,SGD,4,5.470130699590457e-05,run_2018-02-08-144407_,0.013,2,180,0.011679062610135548
24,tanh,26,Xception,608,0.0036718608729295645,0.9174311926605505,0.273,16,0.267,RMSProp,4,2.6698814835988502e-05,run_2018-02-08-144451_,0.013,3,55,0.15800637204459722
24,tanh,13,Xception,818,0.0009003462156437976,0.935779815830222,0.273,17,0.267,SGD,1,1.4698529876430302e-05,run_2018-02-08-131455_,0.013,2,65,0.2394753595999796
